Node,Depth,Value
B9,6,2
A8,5,-4
A2,5,2
B8,4,2
A5,5,Infinity
B6,6,-Infinity
A2,7,-Infinity
A8,7,-2
A2,7,-2
B6,6,-2
A8,7,Infinity
B9,8,-2
A8,7,-2
B6,6,-2
A5,5,-2
B9,6,-Infinity
A2,7,-Infinity
A7,7,Infinity
B6,8,2
A7,7,2
A2,7,2
A8,7,Infinity
B6,8,-4
A8,7,-4
A2,7,2
B9,6,2
A7,7,Infinity
B6,8,2
A7,7,2
B9,6,2
A8,7,Infinity
B6,8,-4
A8,7,-4
B9,6,2
A5,5,-2
B8,4,2
A7,5,Infinity
B6,6,-Infinity
A2,7,-Infinity
A5,7,Infinity
B9,8,2
A5,7,2
A2,7,2
A6,7,Infinity
B9,8,2
A6,7,2
A2,7,2
A8,7,Infinity
B9,8,2
A8,7,2
A2,7,2
B6,6,2
A5,7,Infinity
B9,8,2
A5,7,2
B6,6,2
A6,7,Infinity
B9,8,2
A6,7,2
B6,6,2
A8,7,Infinity
B9,8,2
A8,7,2
B6,6,2
A7,5,2
B9,6,-Infinity
A2,7,-Infinity
A5,7,Infinity
B6,8,2
A5,7,2
A2,7,2
A6,7,Infinity
B6,8,2
A6,7,2
A2,7,2
A8,7,Infinity
B6,8,2
A8,7,2
A2,7,2
B9,6,2
A5,7,Infinity
B6,8,2
A5,7,2
B9,6,2
A6,7,Infinity
B6,8,2
A6,7,2
B9,6,2
A8,7,Infinity
B6,8,2
A8,7,2
B9,6,2
A7,5,2
B8,4,2
A8,5,Infinity
B6,6,-Infinity
A2,7,-Infinity
A5,7,-4
A2,7,-4
B6,6,-4
A5,7,Infinity
B9,8,-4
A5,7,-4
B6,6,-4
A8,5,-4
B9,6,-Infinity
A2,7,-Infinity
A5,7,Infinity
B6,8,-4
A5,7,-4
A2,7,-4
A7,7,Infinity
B6,8,2
A7,7,2
A2,7,2
B9,6,2
A5,7,Infinity
B6,8,-4
A5,7,-4
B9,6,2
A7,7,Infinity
B6,8,2
A7,7,2
B9,6,2
A8,5,-4
B8,4,2
A9,3,-2
B7,2,4
A10,1,2
B8,2,-Infinity
A2,3,-Infinity
A5,3,Infinity
B6,4,-Infinity
A7,5,-2
B6,4,-2
A5,3,-2
B7,4,-Infinity
A7,5,0
B7,4,0
A5,3,-2
A2,3,-2
A7,3,Infinity
B7,4,0
A7,3,0
A2,3,0
B8,2,0
A5,3,Infinity
B6,4,-Infinity
A2,5,-Infinity
A7,5,-2
A2,5,-2
B6,4,-2
A7,5,Infinity
B7,6,-Infinity
A2,7,-2
B7,6,-2
A7,5,-2
B6,4,-2
A5,3,-2
B7,4,-Infinity
A2,5,-Infinity
A7,5,0
A2,5,0
B7,4,0
A7,5,0
B7,4,0
A5,3,-2
B8,2,0
A7,3,Infinity
B7,4,0
A7,3,0
B8,2,0
A10,1,0
root,0,4
